Date,Open,High,Low,Close,Volume
01/26/2024,"394.35","396.79","391.59","394.14","13,159,290"
01/25/2024,"390.17","395.49","385.66","393.18","15,091,080"
01/24/2024,"390.00","396.15","387.81","390.70","15,604,290"
01/23/2024,"384.62","388.38","382.08","385.20","15,506,100"
01/22/2024,"387.95","390.35","381.16","381.78","17,680,449"
01/19/2024,"379.00","384.36","377.97","383.45","21,670,811"
01/18/2024,"371.49","376.85","370.95","376.13","16,354,330"
01/17/2024,"366.30","368.54","358.61","368.37","12,724,780"
01/16/2024,"373.65","375.61","367.23","367.46","15,306,890"
01/12/2024,"370.16","377.06","369.54","374.49","19,310,051"
01/11/2024,"372.13","372.78","362.93","369.67","17,205,391"
01/10/2024,"360.17","372.94","359.08","370.47","22,117,211"
01/09/2024,"356.40","360.64","355.36","357.43","13,463,870"
01/08/2024,"354.70","358.98","352.05","358.66","13,890,220"
01/05/2024,"346.99","353.50","346.26","351.95","13,750,910"
01/04/2024,"344.50","348.15","343.40","347.12","12,099,900"
01/03/2024,"344.98","347.95","343.18","344.47","15,451,130"
01/02/2024,"351.32","353.16","340.01","346.29","19,042,150"
12/29/2023,"358.99","360.00","351.82","353.96","14,987,090"
12/28/2023,"359.70","361.90","357.81","358.32","11,798,810"
12/27/2023,"356.07","359.00","355.31","357.83","13,207,930"
